,data
0,4.00 New Dhaka Modern Clinic    (43 reviews)
1,4.10 Reliance General & Renal Hospital    (43 reviews)
2,3.70 Dhaka Mahanagar Shishu Hospital    (43 reviews)
3,4.30 Ar-Raha Hospital & Diagnostics Ltd.    (43 reviews)
4,4.10 Dhaka Orthopedic Hospital    (42 reviews)
5,4.20 Surecell Medical Bangladesh Ltd.    (42 reviews)
6,3.30 Chankharpul General Hospital    (42 reviews)
7,3.50 Renaissance Hospital & Research Institute Ltd.    (42 reviews)
8,5.00 New Expert Physiotherapy center    (42 reviews)
9,3.80 Dhaka Mohanagar General Hospital    (41 reviews)
10,4.00 Dhaka Paediatric-Neonatal & General Hospital Limited    (41 reviews)
11,3.80 Medinova Medical Services Ltd.    (41 reviews)
12,4.00 UTPS    (41 reviews)
13,4.10 Shaheed Khalek-Ibrahim General Hospital    (41 reviews)
14,3.70 Life Aid Specialized Hospital Pvt. Ltd.    (40 reviews)
15,4.00 Green View Clinic    (40 reviews)
16,4.00 Medinet Medical Services    (40 reviews)
17,3.70 Institute of Laser Surgery & Hospital Ltd.    (40 reviews)
18,"4.60 বার্ন ও প্লাস্টিক সার্জারি বিভাগ, ঢাকা মেডিকেল কলেজ হাসপাতাল    (39 reviews)"
19,4.20 Bari-Ilizarov Orthopaedic Centre    (39 reviews)
20,3.90 Gulshan Clinic Limited.    (38 reviews)
21,3.50 Unity Aid Hospital Ltd    (38 reviews)
22,4.20 masaya skin care    (38 reviews) CLOSED
23,"4.30 Labaid Iconic , Kalabagan    (37 reviews)"
24,3.80 মেডি এইড জেনারেল হাসপাতাল লিমিটেড    (36 reviews)
25,4.20 BIODENT Dental Clinic & Implant Center    (35 reviews)
26,"4.80 Affordable Dental Clinic, Banani    (35 reviews)"
27,3.30 Meditech General Hospital    (34 reviews)
28,3.00 Dhanmondi Clinic Pvt. Ltd.    (34 reviews)
29,3.30 Al Sami Hospital    (34 reviews)
30,3.60 Abeer General Hospital    (33 reviews)
31,2.90 HL Laser Care    (33 reviews)
32,3.90 Islamia General Hospital    (33 reviews)
33,3.50 Naaz E Noor Hospital (Pvt) Ltd    (33 reviews)
34,3.90 Health Aid Diagnostic and Hospital    (32 reviews)
35,4.30 RAHETID    (32 reviews)
36,3.90 Bangladesh Eye Care Hospital Ltd    (32 reviews)
37,3.60 Dhanmondi General & Kidney Hospital Ltd    (31 reviews)
38,"3.80 Marie Stopes Premium Maternity, Dhanmondi    (31 reviews)"
39,4.40 Sapporo Dental Care    (31 reviews)
40,« Previous page
41,Next page »
42,View All in Dhaka
43,Bars and Pubs in Dhaka
44,Beaches in Dhaka
45,Coffee Shops in Dhaka
46,Fitness Clubs & Gyms in Dhaka
47,Hospitals & Clinics in Dhaka
48,Hostels in Dhaka
49,Hotels in Dhaka
50,Jewellers in Dhaka
51,Lakes in Dhaka
52,Museums in Dhaka
53,Night Clubs in Dhaka
54,Parks in Dhaka
55,Restaurants in Dhaka
56,Shopping Centers in Dhaka
57,Sights & Landmarks in Dhaka
58,Tourist Attractions in Dhaka
59,Vegan Restaurants in Dhaka
60,Zoos & Aquariums in Dhaka
61,"Paltan, Bangladesh (~1km)"
62,"Azimpur, Bangladesh (~2km)"
63,"Narayanganj, Bangladesh (~15km)"
64,"Tungi, Bangladesh (~20km)"
65,"Dohār, Bangladesh (~32km)"
66,"Char Bhadrāsan, Bangladesh (~49km)"
67,"Narsingdi, Bangladesh (~60km)"
68,"Farīdpur, Bangladesh (~60km)"
69,"Nāgarpur, Bangladesh (~64km)"
70,"Mādārīpur, Bangladesh (~66km)"
